epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1150.28,2.9398,0.54508,0.89891,3.13658,0.000237281,0.000237281,0.000237281
2,2328.75,1.65825,0.67486,0.93306,2.93764,0.000470576,0.000470576,0.000470576
3,3226.14,1.29759,0.71038,0.94809,2.84709,0.000699158,0.000699158,0.000699158
4,4545.55,1.1083,0.7418,0.95628,2.80795,0.000692794,0.000692794,0.000692794
5,5489.41,1.00077,0.77732,0.96038,2.76376,0.000685726,0.000685726,0.000685726
6,6868.58,0.87099,0.75137,0.96721,2.7577,0.000678657,0.000678657,0.000678657
7,7679.01,0.79573,0.79098,0.96721,2.73033,0.000671588,0.000671588,0.000671588
8,8549.02,0.72698,0.80191,0.97404,2.70263,0.00066452,0.00066452,0.00066452
9,9341.84,0.67557,0.79781,0.97268,2.71102,0.000657451,0.000657451,0.000657451
10,10130.5,0.63649,0.79781,0.97678,2.70314,0.000650383,0.000650383,0.000650383
11,10920.5,0.5953,0.79372,0.97951,2.70194,0.000643314,0.000643314,0.000643314
12,11711.1,0.54127,0.81967,0.97404,2.67848,0.000636245,0.000636245,0.000636245
13,12502.5,0.53484,0.81148,0.97404,2.68004,0.000629177,0.000629177,0.000629177
14,13290.8,0.4892,0.81967,0.97678,2.67334,0.000622108,0.000622108,0.000622108
15,14072.7,0.45882,0.81148,0.98087,2.6832,0.00061504,0.00061504,0.00061504
16,14897,0.43158,0.80738,0.97541,2.68197,0.000607971,0.000607971,0.000607971
17,15742.2,0.43484,0.81557,0.97678,2.67744,0.000600902,0.000600902,0.000600902
18,16534.5,0.38471,0.8224,0.97678,2.66134,0.000593834,0.000593834,0.000593834
19,17321.2,0.35007,0.81011,0.96995,2.67643,0.000586765,0.000586765,0.000586765
20,18117.3,0.36304,0.81284,0.97404,2.67202,0.000579697,0.000579697,0.000579697
21,18901.1,0.34523,0.84016,0.97404,2.65565,0.000572628,0.000572628,0.000572628
22,19688.7,0.31513,0.82104,0.97814,2.66163,0.000565559,0.000565559,0.000565559
23,20474.2,0.30573,0.80874,0.97268,2.66929,0.000558491,0.000558491,0.000558491
24,21263.4,0.30093,0.83197,0.97268,2.65473,0.000551422,0.000551422,0.000551422
25,22044.2,0.27578,0.8265,0.97268,2.65732,0.000544354,0.000544354,0.000544354
26,22820.7,0.3004,0.81557,0.97268,2.66461,0.000537285,0.000537285,0.000537285
27,23608.7,0.26766,0.8224,0.96995,2.6597,0.000530216,0.000530216,0.000530216
28,24394.5,0.27337,0.83743,0.97951,2.6492,0.000523148,0.000523148,0.000523148
29,25186.6,0.25858,0.82377,0.96858,2.65506,0.000516079,0.000516079,0.000516079
30,25969.5,0.23417,0.81148,0.97131,2.656,0.000509011,0.000509011,0.000509011
31,26760.6,0.24056,0.81694,0.97404,2.65509,0.000501942,0.000501942,0.000501942
32,27556.4,0.22548,0.80601,0.97268,2.6611,0.000494873,0.000494873,0.000494873
33,28347.1,0.22414,0.82787,0.97541,2.65183,0.000487805,0.000487805,0.000487805
34,29143.1,0.2163,0.8265,0.97541,2.64407,0.000480736,0.000480736,0.000480736
35,29926.9,0.21009,0.8347,0.97678,2.63894,0.000473668,0.000473668,0.000473668
36,30717.7,0.2066,0.82923,0.97404,2.64464,0.000466599,0.000466599,0.000466599
37,31504.9,0.20487,0.83743,0.96585,2.64556,0.00045953,0.00045953,0.00045953
38,32296.1,0.2051,0.83197,0.97131,2.64808,0.000452462,0.000452462,0.000452462
39,33092.1,0.18699,0.8306,0.96721,2.64482,0.000445393,0.000445393,0.000445393
40,33893.8,0.19339,0.82787,0.96995,2.64583,0.000438325,0.000438325,0.000438325
41,34684.5,0.19179,0.83197,0.97131,2.64076,0.000431256,0.000431256,0.000431256
42,35474.3,0.18576,0.83197,0.97678,2.63728,0.000424187,0.000424187,0.000424187
43,36265.6,0.18366,0.8388,0.97541,2.63892,0.000417119,0.000417119,0.000417119
44,37346.5,0.15915,0.82923,0.97131,2.64292,0.00041005,0.00041005,0.00041005
45,38865,0.16542,0.84016,0.97541,2.63566,0.000402982,0.000402982,0.000402982
46,40893.4,0.15784,0.83607,0.97404,2.63404,0.000395913,0.000395913,0.000395913
47,42365.1,0.15182,0.83197,0.96995,2.63829,0.000388844,0.000388844,0.000388844
48,43512,0.15017,0.82923,0.96721,2.63597,0.000381776,0.000381776,0.000381776
49,45663.1,0.16593,0.82923,0.97131,2.64182,0.000374707,0.000374707,0.000374707
50,46457.2,0.16335,0.83197,0.96585,2.63677,0.000367639,0.000367639,0.000367639
51,47265.3,0.16063,0.8347,0.97268,2.63734,0.00036057,0.00036057,0.00036057
52,48067.4,0.16221,0.8265,0.97268,2.63995,0.000353501,0.000353501,0.000353501
53,48870.8,0.12993,0.8388,0.97268,2.63635,0.000346433,0.000346433,0.000346433
54,49663.7,0.1318,0.84563,0.97131,2.63216,0.000339364,0.000339364,0.000339364
55,50470.8,0.13738,0.8388,0.97404,2.63197,0.000332296,0.000332296,0.000332296
56,51279,0.1432,0.82923,0.97131,2.63569,0.000325227,0.000325227,0.000325227
57,52085.5,0.13119,0.84153,0.97131,2.63572,0.000318158,0.000318158,0.000318158
58,53138,0.13616,0.83197,0.96995,2.64213,0.00031109,0.00031109,0.00031109
59,54402,0.13753,0.8388,0.96995,2.63221,0.000304021,0.000304021,0.000304021
60,55403,0.13157,0.8388,0.97131,2.63652,0.000296953,0.000296953,0.000296953
61,56397.5,0.11928,0.8429,0.97404,2.632,0.000289884,0.000289884,0.000289884
62,57877.2,0.11783,0.83197,0.97268,2.63437,0.000282815,0.000282815,0.000282815
63,58837.4,0.10964,0.83607,0.97268,2.63144,0.000275747,0.000275747,0.000275747
64,60092.5,0.12015,0.84153,0.97678,2.63315,0.000268678,0.000268678,0.000268678
65,61278.1,0.1193,0.84016,0.97268,2.63281,0.00026161,0.00026161,0.00026161
66,62470.5,0.11921,0.8347,0.97131,2.63243,0.000254541,0.000254541,0.000254541
67,63705.4,0.10857,0.8306,0.96995,2.63826,0.000247472,0.000247472,0.000247472
68,65161.3,0.1098,0.83607,0.96995,2.63107,0.000240404,0.000240404,0.000240404
69,66245.7,0.11512,0.83743,0.97404,2.63102,0.000233335,0.000233335,0.000233335
70,67205.1,0.10836,0.83607,0.97268,2.63451,0.000226267,0.000226267,0.000226267
71,68558.9,0.10202,0.83197,0.96995,2.63254,0.000219198,0.000219198,0.000219198
72,70482.6,0.10922,0.84153,0.97541,2.63321,0.000212129,0.000212129,0.000212129
73,71500.6,0.10857,0.8347,0.97268,2.63142,0.000205061,0.000205061,0.000205061
74,72859.6,0.1067,0.84153,0.97131,2.62981,0.000197992,0.000197992,0.000197992
75,73729.7,0.106,0.84153,0.97268,2.62937,0.000190924,0.000190924,0.000190924
76,75216.2,0.09614,0.84153,0.97541,2.62648,0.000183855,0.000183855,0.000183855
77,76149.6,0.10629,0.84563,0.96995,2.629,0.000176786,0.000176786,0.000176786
78,77075.4,0.09067,0.84016,0.97131,2.62947,0.000169718,0.000169718,0.000169718
79,77969.8,0.1004,0.84016,0.96858,2.63102,0.000162649,0.000162649,0.000162649
80,78943,0.1021,0.84153,0.96858,2.63038,0.000155581,0.000155581,0.000155581
81,79771.1,0.0951,0.84563,0.96585,2.62788,0.000148512,0.000148512,0.000148512
82,80605.3,0.08455,0.84016,0.96858,2.62885,0.000141443,0.000141443,0.000141443
83,81522.1,0.09143,0.84973,0.96858,2.6282,0.000134375,0.000134375,0.000134375
84,82375.1,0.09611,0.84426,0.96858,2.62693,0.000127306,0.000127306,0.000127306
85,83242.1,0.08965,0.83743,0.97268,2.63089,0.000120238,0.000120238,0.000120238
86,84081.5,0.08108,0.84153,0.96995,2.62921,0.000113169,0.000113169,0.000113169
87,84929,0.0812,0.84016,0.97268,2.62839,0.0001061,0.0001061,0.0001061
88,86185.4,0.07475,0.8388,0.97131,2.62821,9.90318e-05,9.90318e-05,9.90318e-05
89,87014.6,0.08389,0.8388,0.97268,2.62762,9.19632e-05,9.19632e-05,9.19632e-05
90,87820.9,0.08162,0.83743,0.97541,2.62739,8.48946e-05,8.48946e-05,8.48946e-05
91,88674.3,0.07792,0.8388,0.97404,2.62635,7.7826e-05,7.7826e-05,7.7826e-05
92,89486.7,0.07952,0.84153,0.97268,2.62475,7.07574e-05,7.07574e-05,7.07574e-05
93,90286.2,0.08061,0.84563,0.97541,2.62519,6.36888e-05,6.36888e-05,6.36888e-05
94,91087.4,0.07068,0.84426,0.97404,2.62651,5.66202e-05,5.66202e-05,5.66202e-05
95,91889.9,0.07211,0.83607,0.97268,2.62753,4.95516e-05,4.95516e-05,4.95516e-05
96,92691.5,0.06845,0.8347,0.97268,2.6279,4.2483e-05,4.2483e-05,4.2483e-05
97,93497,0.07306,0.84016,0.97404,2.62782,3.54144e-05,3.54144e-05,3.54144e-05
98,94298.3,0.06069,0.84153,0.97268,2.62777,2.83458e-05,2.83458e-05,2.83458e-05
99,95101.6,0.07511,0.84426,0.97404,2.62802,2.12772e-05,2.12772e-05,2.12772e-05
100,95906,0.07564,0.84153,0.97404,2.6272,1.42086e-05,1.42086e-05,1.42086e-05
